"Числа без округления; стоимость — условные единицы, задержка — кварталы. Десятичный разделитель: точка."
"Мера","Район","Стоимость","Лаг"
"M3 · Линия ЛРТ","Нура","30","4"
"M7 · Школа и детсад","Нура","24","3"
"M8 · Центр семейного здоровья","Нура","20","3"
"M11 · Безопасные переходы","Есиль","10","1"
"M14 · Аварийные бригады ЖКХ","Весь город","16","1"

"Район","ID","До решений","После решений","Δ"
"Есиль","T1 · Разгрузка дорог","45","43.25","-1.75"
"Есиль","T2 · Доступность транспорта","62","62","0"
"Есиль","E1 · Озеленение","68","68","0"
"Есиль","E2 · Качество воздуха","72","72","0"
"Есиль","S1 · Школы и детсады","48","48","0"
"Есиль","S2 · Первичная медпомощь","55","55","0"
"Есиль","B1 · Безопасность улиц","78","78","0"
"Есиль","B2 · Безопасность движения","60","70.5","10.5"
"Есиль","C1 · Надёжность ЖКХ","75","79.375","4.375"
"Есиль","C2 · Решение обращений","70","71.75","1.75"
"Алматы","T1 · Разгрузка дорог","40","40","0"
"Алматы","T2 · Доступность транспорта","75","75","0"
"Алматы","E1 · Озеленение","50","50","0"
"Алматы","E2 · Качество воздуха","55","55","0"
"Алматы","S1 · Школы и детсады","60","60","0"
"Алматы","S2 · Первичная медпомощь","65","65","0"
"Алматы","B1 · Безопасность улиц","62","62","0"
"Алматы","B2 · Безопасность движения","52","52","0"
"Алматы","C1 · Надёжность ЖКХ","50","54.375","4.375"
"Алматы","C2 · Решение обращений","60","61.75","1.75"
"Сарыарка","T1 · Разгрузка дорог","50","50","0"
"Сарыарка","T2 · Доступность транспорта","70","70","0"
"Сарыарка","E1 · Озеленение","42","42","0"
"Сарыарка","E2 · Качество воздуха","40","40","0"
"Сарыарка","S1 · Школы и детсады","62","62","0"
"Сарыарка","S2 · Первичная медпомощь","68","68","0"
"Сарыарка","B1 · Безопасность улиц","58","58","0"
"Сарыарка","B2 · Безопасность движения","55","55","0"
"Сарыарка","C1 · Надёжность ЖКХ","45","49.375","4.375"
"Сарыарка","C2 · Решение обращений","55","56.75","1.75"
"Байконур","T1 · Разгрузка дорог","52","52","0"
"Байконур","T2 · Доступность транспорта","68","68","0"
"Байконур","E1 · Озеленение","55","55","0"
"Байконур","E2 · Качество воздуха","50","50","0"
"Байконур","S1 · Школы и детсады","58","58","0"
"Байконур","S2 · Первичная медпомощь","60","60","0"
"Байконур","B1 · Безопасность улиц","52","52","0"
"Байконур","B2 · Безопасность движения","58","58","0"
"Байконур","C1 · Надёжность ЖКХ","55","59.375","4.375"
"Байконур","C2 · Решение обращений","58","59.75","1.75"
"Нура","T1 · Разгрузка дорог","55","63","8"
"Нура","T2 · Доступность транспорта","40","50","10"
"Нура","E1 · Озеленение","45","45","0"
"Нура","E2 · Качество воздуха","65","67","2"
"Нура","S1 · Школы и детсады","38","48","10"
"Нура","S2 · Первичная медпомощь","35","43.75","8.75"
"Нура","B1 · Безопасность улиц","55","55","0"
"Нура","B2 · Безопасность движения","50","50","0"
"Нура","C1 · Надёжность ЖКХ","60","64.375","4.375"
"Нура","C2 · Решение обращений","50","51.75","1.75"

"revisionId","912f3f16-68e6-4cdd-9116-77e62e6b5ed6"
"evaluationId","b167a6cb-80ac-4179-9580-45c5e1863acd"
"datasetVersion","akim-v1"
"sourceHash","15901a62d06847095db6bff01da0cebaf54e8d16f6a75bb42ce899dd5c762327"
"rulesVersion","akim-rules-v1"
"evaluatorVersion","akim-evaluator-v1"
"kind","official"
"Score","56.9977"
"cost","100"
"remaining","0"
"populationMean","58.336"
"minimumDistrictScore","53.875"
"component.penalty","0"
"component.weakest","16.162499999999998"
"component.population","40.83519999999999"

"constraints","{""locked"":[{""measureId"":""M7"",""districtId"":""nura""}],""maxSpend"":100,""objective"":""maxScore"",""excludedMeasureIds"":[],""minDirectDistricts"":2}"
