"Сандар дөңгелектелмеген; құны — шартты бірлік, кідіріс — тоқсан. Ондық бөлгіш: нүкте."
"Шара","Аудан","Құны","Кідіріс"
"M3 · Жеңіл рельсті көлік желісі","Нұра","30","4"
"M7 · Мектеп пен балабақша","Нұра","24","3"
"M8 · Отбасылық денсаулық орталығы","Нұра","20","3"
"M11 · Қауіпсіз өткелдер","Есіл","10","1"
"M14 · ТКШ апаттық бригадалары","Бүкіл қала","16","1"

"Аудан","ID","Шешімдерге дейін","Шешімдерден кейін","Δ"
"Есіл","T1 · Жол жүктемесін азайту","45","43.25","-1.75"
"Есіл","T2 · Көліктің қолжетімділігі","62","62","0"
"Есіл","E1 · Көгалдандыру","68","68","0"
"Есіл","E2 · Ауа сапасы","72","72","0"
"Есіл","S1 · Мектептер мен балабақшалар","48","48","0"
"Есіл","S2 · Алғашқы медициналық көмек","55","55","0"
"Есіл","B1 · Көше қауіпсіздігі","78","78","0"
"Есіл","B2 · Жол қозғалысының қауіпсіздігі","60","70.5","10.5"
"Есіл","C1 · ТКШ сенімділігі","75","79.375","4.375"
"Есіл","C2 · Өтініштерді шешу","70","71.75","1.75"
"Алматы","T1 · Жол жүктемесін азайту","40","40","0"
"Алматы","T2 · Көліктің қолжетімділігі","75","75","0"
"Алматы","E1 · Көгалдандыру","50","50","0"
"Алматы","E2 · Ауа сапасы","55","55","0"
"Алматы","S1 · Мектептер мен балабақшалар","60","60","0"
"Алматы","S2 · Алғашқы медициналық көмек","65","65","0"
"Алматы","B1 · Көше қауіпсіздігі","62","62","0"
"Алматы","B2 · Жол қозғалысының қауіпсіздігі","52","52","0"
"Алматы","C1 · ТКШ сенімділігі","50","54.375","4.375"
"Алматы","C2 · Өтініштерді шешу","60","61.75","1.75"
"Сарыарқа","T1 · Жол жүктемесін азайту","50","50","0"
"Сарыарқа","T2 · Көліктің қолжетімділігі","70","70","0"
"Сарыарқа","E1 · Көгалдандыру","42","42","0"
"Сарыарқа","E2 · Ауа сапасы","40","40","0"
"Сарыарқа","S1 · Мектептер мен балабақшалар","62","62","0"
"Сарыарқа","S2 · Алғашқы медициналық көмек","68","68","0"
"Сарыарқа","B1 · Көше қауіпсіздігі","58","58","0"
"Сарыарқа","B2 · Жол қозғалысының қауіпсіздігі","55","55","0"
"Сарыарқа","C1 · ТКШ сенімділігі","45","49.375","4.375"
"Сарыарқа","C2 · Өтініштерді шешу","55","56.75","1.75"
"Байқоңыр","T1 · Жол жүктемесін азайту","52","52","0"
"Байқоңыр","T2 · Көліктің қолжетімділігі","68","68","0"
"Байқоңыр","E1 · Көгалдандыру","55","55","0"
"Байқоңыр","E2 · Ауа сапасы","50","50","0"
"Байқоңыр","S1 · Мектептер мен балабақшалар","58","58","0"
"Байқоңыр","S2 · Алғашқы медициналық көмек","60","60","0"
"Байқоңыр","B1 · Көше қауіпсіздігі","52","52","0"
"Байқоңыр","B2 · Жол қозғалысының қауіпсіздігі","58","58","0"
"Байқоңыр","C1 · ТКШ сенімділігі","55","59.375","4.375"
"Байқоңыр","C2 · Өтініштерді шешу","58","59.75","1.75"
"Нұра","T1 · Жол жүктемесін азайту","55","63","8"
"Нұра","T2 · Көліктің қолжетімділігі","40","50","10"
"Нұра","E1 · Көгалдандыру","45","45","0"
"Нұра","E2 · Ауа сапасы","65","67","2"
"Нұра","S1 · Мектептер мен балабақшалар","38","48","10"
"Нұра","S2 · Алғашқы медициналық көмек","35","43.75","8.75"
"Нұра","B1 · Көше қауіпсіздігі","55","55","0"
"Нұра","B2 · Жол қозғалысының қауіпсіздігі","50","50","0"
"Нұра","C1 · ТКШ сенімділігі","60","64.375","4.375"
"Нұра","C2 · Өтініштерді шешу","50","51.75","1.75"

"revisionId","912f3f16-68e6-4cdd-9116-77e62e6b5ed6"
"evaluationId","b167a6cb-80ac-4179-9580-45c5e1863acd"
"datasetVersion","akim-v1"
"sourceHash","15901a62d06847095db6bff01da0cebaf54e8d16f6a75bb42ce899dd5c762327"
"rulesVersion","akim-rules-v1"
"evaluatorVersion","akim-evaluator-v1"
"kind","official"
"Score","56.9977"
"cost","100"
"remaining","0"
"populationMean","58.336"
"minimumDistrictScore","53.875"
"component.penalty","0"
"component.weakest","16.162499999999998"
"component.population","40.83519999999999"

"constraints","{""locked"":[{""measureId"":""M7"",""districtId"":""nura""}],""maxSpend"":100,""objective"":""maxScore"",""excludedMeasureIds"":[],""minDirectDistricts"":2}"
