"Numbers are unrounded; cost is in virtual units, delay in quarters. Decimal separator: dot."
"Measure","District","Cost","Delay"
"M3 · Light rail line","Nura","30","4"
"M7 · School and kindergarten","Nura","24","3"
"M8 · Family health centre","Nura","20","3"
"M11 · Safe crossings","Yesil","10","1"
"M14 · Emergency utility teams","Entire city","16","1"

"District","ID","Before decisions","After decisions","Δ"
"Yesil","T1 · Road congestion relief","45","43.25","-1.75"
"Yesil","T2 · Public transport access","62","62","0"
"Yesil","E1 · Green spaces","68","68","0"
"Yesil","E2 · Air quality","72","72","0"
"Yesil","S1 · Schools and kindergartens","48","48","0"
"Yesil","S2 · Primary healthcare","55","55","0"
"Yesil","B1 · Street safety","78","78","0"
"Yesil","B2 · Road safety","60","70.5","10.5"
"Yesil","C1 · Utility reliability","75","79.375","4.375"
"Yesil","C2 · Resident request resolution","70","71.75","1.75"
"Almaty","T1 · Road congestion relief","40","40","0"
"Almaty","T2 · Public transport access","75","75","0"
"Almaty","E1 · Green spaces","50","50","0"
"Almaty","E2 · Air quality","55","55","0"
"Almaty","S1 · Schools and kindergartens","60","60","0"
"Almaty","S2 · Primary healthcare","65","65","0"
"Almaty","B1 · Street safety","62","62","0"
"Almaty","B2 · Road safety","52","52","0"
"Almaty","C1 · Utility reliability","50","54.375","4.375"
"Almaty","C2 · Resident request resolution","60","61.75","1.75"
"Saryarka","T1 · Road congestion relief","50","50","0"
"Saryarka","T2 · Public transport access","70","70","0"
"Saryarka","E1 · Green spaces","42","42","0"
"Saryarka","E2 · Air quality","40","40","0"
"Saryarka","S1 · Schools and kindergartens","62","62","0"
"Saryarka","S2 · Primary healthcare","68","68","0"
"Saryarka","B1 · Street safety","58","58","0"
"Saryarka","B2 · Road safety","55","55","0"
"Saryarka","C1 · Utility reliability","45","49.375","4.375"
"Saryarka","C2 · Resident request resolution","55","56.75","1.75"
"Baikonur","T1 · Road congestion relief","52","52","0"
"Baikonur","T2 · Public transport access","68","68","0"
"Baikonur","E1 · Green spaces","55","55","0"
"Baikonur","E2 · Air quality","50","50","0"
"Baikonur","S1 · Schools and kindergartens","58","58","0"
"Baikonur","S2 · Primary healthcare","60","60","0"
"Baikonur","B1 · Street safety","52","52","0"
"Baikonur","B2 · Road safety","58","58","0"
"Baikonur","C1 · Utility reliability","55","59.375","4.375"
"Baikonur","C2 · Resident request resolution","58","59.75","1.75"
"Nura","T1 · Road congestion relief","55","63","8"
"Nura","T2 · Public transport access","40","50","10"
"Nura","E1 · Green spaces","45","45","0"
"Nura","E2 · Air quality","65","67","2"
"Nura","S1 · Schools and kindergartens","38","48","10"
"Nura","S2 · Primary healthcare","35","43.75","8.75"
"Nura","B1 · Street safety","55","55","0"
"Nura","B2 · Road safety","50","50","0"
"Nura","C1 · Utility reliability","60","64.375","4.375"
"Nura","C2 · Resident request resolution","50","51.75","1.75"

"revisionId","912f3f16-68e6-4cdd-9116-77e62e6b5ed6"
"evaluationId","b167a6cb-80ac-4179-9580-45c5e1863acd"
"datasetVersion","akim-v1"
"sourceHash","15901a62d06847095db6bff01da0cebaf54e8d16f6a75bb42ce899dd5c762327"
"rulesVersion","akim-rules-v1"
"evaluatorVersion","akim-evaluator-v1"
"kind","official"
"Score","56.9977"
"cost","100"
"remaining","0"
"populationMean","58.336"
"minimumDistrictScore","53.875"
"component.penalty","0"
"component.weakest","16.162499999999998"
"component.population","40.83519999999999"

"constraints","{""locked"":[{""measureId"":""M7"",""districtId"":""nura""}],""maxSpend"":100,""objective"":""maxScore"",""excludedMeasureIds"":[],""minDirectDistricts"":2}"
